
 PoreSC 

 C O N T R O L   I N F O R M A T I O N

      NUMBER OF NODAL POINTS . . . . . . . . . . (NUMNP)  =        713 
      NUMBER OF ELEMENT GROUPS . . . . . . . . . (NUMEG)  =          1 
      NUMBER OF LOAD CASES . . . . . . . . . . . (NLCASE) =          1 
      SOLUTION MODE  . . . . . . . . . . . . . . (MODEX)  =          2 
         EQ.0, DATA CHECK 
         EQ.1, EXECUTION


 N O D A L   P O I N T   D A T A 

       NODE          BOUNDARY                         NODAL POINT
      NUMBER     CONDITION  CODES                     COORDINATES
                    X    Y    Z               X            Y            Z
       175          0    0    1              0.037        0.543        0.000
       176          0    0    1              0.063        0.564        0.000
       177          0    0    1              0.132        0.568        0.000
       178          0    0    1              0.090        0.577        0.000
       179          0    0    1              0.113        0.582        0.000
       180          0    0    1              0.022        0.572        0.000
       181          1    0    1              0.000        0.600        0.000
       182          0    0    1              0.157        0.589        0.000
       183          0    0    1              0.310        0.508        0.000
       184          0    0    1              0.299        0.542        0.000
       185          0    0    1              0.276        0.574        0.000
       186          0    0    1              0.238        0.594        0.000
       187          0    0    1              0.193        0.600        0.000
       188          0    0    1              0.347        0.517        0.000
       189          0    0    1              0.393        0.335        0.000
       190          0    0    1              0.396        0.357        0.000
       191          0    0    1              0.400        0.376        0.000
       192          0    0    1              0.402        0.396        0.000
       193          0    0    1              0.408        0.413        0.000
       194          0    0    1              0.391        0.424        0.000
       195          0    0    1              0.363        0.435        0.000
       196          0    0    1              0.377        0.470        0.000
       197          0    0    1              0.393        0.516        0.000
       198          0    0    1              0.433        0.250        0.000
       199          0    0    1              0.446        0.227        0.000
       200          0    0    1              0.440        0.271        0.000
       201          0    0    1              0.414        0.334        0.000
       202          0    0    1              0.433        0.331        0.000
       203          0    0    1              0.445        0.293        0.000
       204          0    0    1              0.447        0.313        0.000
       205          0    0    1              0.447        0.327        0.000
       206          0    0    1              0.045        0.571        0.000
       207          0    0    1              0.070        0.593        0.000
       208          0    0    1              0.137        0.591        0.000
       209          0    0    1              0.102        0.601        0.000
       210          0    0    1              0.028        0.610        0.000
       211          1    0    1              0.000        0.650        0.000
       212          0    0    1              0.171        0.621        0.000
       213          0    0    1              0.325        0.534        0.000
       214          0    0    1              0.309        0.577        0.000
       215          0    0    1              0.275        0.613        0.000
       216          0    0    1              0.224        0.629        0.000
       217          0    0    1              0.372        0.547        0.000
       218          0    0    1              0.405        0.346        0.000
       219          0    0    1              0.409        0.368        0.000
       220          0    0    1              0.407        0.386        0.000
       221          0    0    1              0.417        0.403        0.000
       222          0    0    1              0.411        0.427        0.000
       223          0    0    1              0.386        0.445        0.000
       224          0    0    1              0.408        0.484        0.000
       225          0    0    1              0.430        0.542        0.000
       226          0    0    1              0.439        0.239        0.000
       227          0    0    1              0.448        0.259        0.000
       228          0    0    1              0.451        0.215        0.000
       229          0    0    1              0.461        0.235        0.000
       230          0    0    1              0.455        0.282        0.000
       231          0    0    1              0.427        0.343        0.000
       232          0    0    1              0.446        0.336        0.000
       233          0    0    1              0.457        0.304        0.000
       234          0    0    1              0.455        0.324        0.000
       235          0    0    1              0.054        0.605        0.000
       236          0    0    1              0.090        0.608        0.000
       237          0    0    1              0.131        0.627        0.000
       238          0    0    1              0.041        0.659        0.000
       239          1    0    1              0.000        0.718        0.000
       240          0    0    1              0.200        0.663        0.000
       241          0    0    1              0.343        0.568        0.000
       242          0    0    1              0.319        0.624        0.000
       243          0    0    1              0.266        0.660        0.000
       244          0    0    1              0.405        0.585        0.000
       245          0    0    1              0.419        0.356        0.000
       246          0    0    1              0.422        0.384        0.000
       247          0    0    1              0.432        0.419        0.000
       248          0    0    1              0.414        0.452        0.000
       249          0    0    1              0.447        0.499        0.000
       250          0    0    1              0.478        0.569        0.000
       251          0    0    1              0.467        0.179        0.000
       252          0    0    1              0.457        0.203        0.000
       253          0    0    1              0.455        0.247        0.000
       254          0    0    1              0.464        0.269        0.000
       255          0    0    1              0.467        0.222        0.000
       256          0    0    1              0.478        0.242        0.000
       257          0    0    1              0.469        0.294        0.000
       258          0    0    1              0.442        0.351        0.000
       259          0    0    1              0.460        0.338        0.000
       260          0    0    1              0.468        0.318        0.000
       261          0    0    1              0.489        0.104        0.000
       262          0    0    1              0.497        0.052        0.000
       263          0    0    1              0.085        0.639        0.000
       264          0    0    1              0.163        0.693        0.000
       265          0    0    1              0.059        0.727        0.000
       266          1    0    1              0.000        0.809        0.000
       267          0    0    1              0.243        0.711        0.000
       268          0    0    1              0.371        0.618        0.000
       269          0    0    1              0.322        0.687        0.000
       270          0    0    1              0.454        0.629        0.000
       271          0    0    1              0.435        0.367        0.000
       272          0    0    1              0.447        0.399        0.000
       273          0    0    1              0.455        0.451        0.000
       274          0    0    1              0.494        0.518        0.000
       275          0    0    1              0.535        0.594        0.000
       276          0    0    1              0.590        0.684        0.000
       277          0    0    1              0.471        0.167        0.000
       278          0    0    1              0.462        0.191        0.000
       279          0    0    1              0.484        0.183        0.000
       280          0    0    1              0.474        0.209        0.000
       281          0    0    1              0.481        0.281        0.000
       282          0    0    1              0.472        0.256        0.000
       283          0    0    1              0.484        0.229        0.000
       284          0    0    1              0.491        0.247        0.000
       285          0    0    1              0.483        0.309        0.000
       286          0    0    1              0.461        0.355        0.000
       287          0    0    1              0.478        0.334        0.000
       288          0    0    1              0.513        0.315        0.000
       289          0    0    1              0.479        0.142        0.000
       290          0    0    1              0.492        0.091        0.000
       291          0    0    1              0.486        0.117        0.000
       292          0    0    1              0.506        0.105        0.000
       293          0    0    1              0.496        0.065        0.000
       294          0    0    1              0.511        0.054        0.000
       295          0    0    1              0.498        0.039        0.000
       296          0    0    1              0.115        0.716        0.000
       297          0    0    1              0.205        0.760        0.000
       298          0    0    1              0.079        0.818        0.000
       299          1    0    1              0.000        0.931        0.000
       300          0    0    1              0.303        0.761        0.000
       301          0    0    1              0.406        0.701        0.000
       302          0    0    1              0.519        0.664        0.000
       303          0    0    1              0.589        0.776        0.000
       304          0    0    1              0.457        0.377        0.000
       305          0    0    1              0.475        0.415        0.000
       306          0    0    1              0.505        0.469        0.000
       307          0    0    1              0.548        0.535        0.000
       308          0    0    1              0.599        0.612        0.000
       309          0    0    1              0.661        0.698        0.000
       310          0    0    1              0.476        0.155        0.000
       311          0    0    1              0.489        0.170        0.000
       312          0    0    1              0.480        0.196        0.000
       313          0    0    1              0.502        0.187        0.000
       314          0    0    1              0.492        0.216        0.000
       315          0    0    1              0.498        0.297        0.000
       316          0    0    1              0.495        0.264        0.000
       317          0    0    1              0.500        0.238        0.000
       318          0    0    1              0.496        0.327        0.000
       319          0    0    1              0.484        0.356        0.000
       320          0    0    1              0.524        0.330        0.000
       321          0    0    1              0.531        0.303        0.000
       322          0    0    1              0.483        0.129        0.000
       323          0    0    1              0.497        0.145        0.000
       324          0    0    1              0.494        0.078        0.000
       325          0    0    1              0.507        0.092        0.000
       326          0    0    1              0.504        0.118        0.000
       327          0    0    1              0.524        0.105        0.000
       328          0    0    1              0.510        0.067        0.000
       329          0    0    1              0.525        0.056        0.000
       330          0    0    1              0.513        0.042        0.000
       331          0    0    1              0.499        0.026        0.000
       332          0    0    1              0.149        0.800        0.000
       333          0    0    1              0.264        0.837        0.000
       334          0    0    1              0.106        0.940        0.000
       335          1    0    1              0.000        1.096        0.000
       336          0    0    1              0.668        0.788        0.000
       337          0    0    1              0.383        0.812        0.000
       338          0    0    1              0.502        0.755        0.000
       339          0    0    1              0.599        0.880        0.000
       340          0    0    1              0.483        0.384        0.000
